context,from,to,weight
16-DAYS-OF-ACTION-2018,LSCHWILLING,UMCJUSTICE,2
NATIONAL-DYSLEXIA-WEEK-2018,CATHRYNPEARCE,JISC,2
NUTRITION-AND-HYDRATION-WEEK-2018,MYNAMEISANDYJ,LYMINGTON,1
OVARIAN-CANCER-AWARENESS-MONTH-2018,LUANNEJOREWICZ,BCMHOUSTON,1
STRESS-AWARENESS-DAY,WALES14,AUSTRALIAZOO,1
BRAIN-AWARENESS-WEEK-2018,MEMORYREBELLION,BRAINHEALTH,2
RARE-DISEASE-DAY-2018,DEBBIESCHENK,DEBRAOFAMERICA,2
NATIONAL-DEMENTIA-CARERS-2018,SRCCG,SWEETTREEHCS,1
MENTAL-HEALTH-AWARENESS-WEEK-2018,JORDANKELLY10,SCOTLANDSKY,2
EXPERIENCE-OF-CARE-WEEK-2018,MELISSAFALCON_,SFMONTENEGRO,2
TIME-TO-TALK-DAY-2018,HENRYBLOWERY,THE_UNSILENT_,2
NATIONAL-DEMENTIA-CARERS-2018,LANCHESTERVILL,ALZHEIMERSSOC,2
MENS-HEALTH-WEEK-2018,LGSAWYER,HEALTHCAREVOTER,2
WEAR-PURPLE-FOR-JIA-2018,UOMMSKRESEARCH,WENDYTHOMSON10,1
CARERS-WEEK-2018,REDEMSONG,MUSICASTHERAPY,2
EXPERIENCE-OF-CARE-WEEK-2018,SAMHAYWOOD44,MEGANEMILY90,2
NO-SMOKING-DAY-2018,MELINSHARON,HELPMEQUITWALES,2
JEANS-FOR-GENES-DAY,LAUGDEBS,MRSANNETWIST,2
BRAIN-INJURY-WEEK-2018,SHILPA179,BENPOSFORD1,2
CERVICAL-CANCER-PREVENTION-WEEK-2018,SUZANNETRASK,SAMYARWOOD89,2
MND-AWARENESS-MONTH-2018,OTBARBS,NICKGOLDUP1,2
16-DAYS-OF-ACTION-2018,WORTHA2NDCHANCE,CCYPVICTORIA,2
16-DAYS-OF-ACTION-2018,6WDGAAEIV4HYPSV,UNFPA,1
NO-SMOKING-DAY-2018,ROSEOBYRNE3,PHE_UK,1
OVARIAN-CANCER-AWARENESS-MONTH-2018,SUNSHINE48631,SHAKEYOURTEALF1,1
ELF-DAY,ALZSOCNWENGLAND,FLAKETWEET,2
JEANS-FOR-GENES-DAY,CGASPARINI95,JEANSFORGENES,1
BRAIN-INJURY-WEEK-2018,BODAGALLON,CUMPSTONARCHIVE,2
TIME-TO-TALK-DAY-2018,JRAD1014HI,THE_UNSILENT_,2
ELF-DAY,BESSIEHODGY,ALZHEIMERSSOC,1
MENS-HEALTH-WEEK-2018,2F488F65E8A24A0,SSPENCERTHOMAS,1
CARERS-WEEK-2018,CHITRAACHARYA,JANEDANFORTH,2
BRAIN-AWARENESS-WEEK-2018,SCIENCEGUY66,JBAKER31826004,2
OVARIAN-CANCER-AWARENESS-MONTH-2018,QUIRKYINSPIRED,NIGHTOWLMAMA,2
JEANS-FOR-GENES-DAY,ANNEMCALLUS,FRAGILEXUK,2
MENTAL-HEALTH-AWARENESS-WEEK-2018,PETELASSEY,JAMESMELVILLE,2
CARERS-WEEK-2018,ANNAGODDARD13,HANNAHDEMENTIA,2
TIME-TO-TALK-DAY-2018,MCAPN_CO_UK,COURAGE2CHANGE_,1
RARE-DISEASE-DAY-2018,JECALLENDER,SAVVY_COOP,2
WEAR-PURPLE-FOR-JIA-2018,DIEDERIKDECOCK,BCRD_STUDY,1
STRESS-AWARENESS-DAY,DRSUEPATDERMVET,THEKENNELCLUBUK,2
BRAIN-AWARENESS-WEEK-2018,SCRUBDEPOT,VANISLANDHEALTH,2
BRAIN-INJURY-WEEK-2018,HEADWAY_DUNDEE,THORNTONSFAMILY,1
EATING-DISORDER-AWARENESS-WEEK-2018,ANDRESSAANDRD,ANDRESSAWRITER,2
NO-SMOKING-DAY-2018,HYWELDDACHC,HELPMEQUITWALES,2
EATING-DISORDER-AWARENESS-WEEK-2018,MARGEJENNY,DREMCNAUGHT,2
BRAIN-INJURY-WEEK-2018,LBLAWPI,HEADWAYSHROP,3
EPILEPSY-AWARENESS-PURPLE-DAY-2018,BARKINGDAWGADS,HALEIGHLIFE8,2
ELF-DAY,BEBADASS12,PCSDRAG0N,2
16-DAYS-OF-ACTION-2018,JOANBOYINGTON,UN_WOMEN,2
ELF-DAY,OP_ENTRETAIMENT,LITTERBOXCOMICS,2
JEANS-FOR-GENES-DAY,EVIK216,MRSANNETWIST,2
EATING-DISORDER-AWARENESS-WEEK-2018,JUSTJEN1915,MQMENTALHEALTH,1
MENTAL-HEALTH-AWARENESS-WEEK-2018,YARAMALIKS,WANK_BADGER,1
OVARIAN-CANCER-AWARENESS-MONTH-2018,MYLATINATABLE,CHRISTYSTUCKER,2
OVARIAN-CANCER-AWARENESS-MONTH-2018,TRACEY_WOODWARD,ASTRAZENECAUK,2
MENTAL-HEALTH-AWARENESS-WEEK-2018,QUEENOFNERDVANA,MH_FIGHTX,1
BRAIN-INJURY-WEEK-2018,HEADWAYPORTS,SNAPCHAT,1
BRAIN-INJURY-WEEK-2018,JACKIECDEAN,UKABIF,2
ELF-DAY,CBERRL,RICKHOPKINS83,2
DEMENTIA-ACTION-WEEK-2018,OTBCNMTD,TPSPEOPLE,1
EATING-DISORDER-AWARENESS-WEEK-2018,MAYATAMSGRAY,BEATEDSUPPORT,2
OCD-AWARENESS-WEEK-2018,SYNYSTAGAMING,LWBEAN,2
WEAR-PURPLE-FOR-JIA-2018,LIZ_M_BEE,JIA_MATTERS,1
NATIONAL-DYSLEXIA-WEEK-2018,JBELGER67,JISC,2
OVARIAN-CANCER-AWARENESS-MONTH-2018,DAVIDAGOODLAND,TARGETOVARIAN,4
16-DAYS-OF-ACTION-2018,JULIA_JUSTIN2,SOCIALISSP,2
WEAR-PURPLE-FOR-JIA-2018,JIA_MATTERS,BCRD_STUDY,1
TIME-TO-TALK-DAY-2018,XSCOUTIE,THE_UNSILENT_,2
NATIONAL-DEMENTIA-CARERS-2018,TRACEYSHRIMPTON,CAREQUALITYCOMM,2
DRY-JANUARY-2018,GREENWICHHOUR,READINGFAIRYBEX,2
OVARIAN-CANCER-AWARENESS-MONTH-2018,ALIBUNKALLSKY,FELICITYBARRTV,2
TIME-TO-TALK-DAY-2018,FRANCES_EMAIL,2020COMMS,2
NATIONAL-DYSLEXIA-WEEK-2018,SUNNYSIDE_JUDY,DYSLEXIADEB1,1
BRAIN-INJURY-WEEK-2018,STORMPETREL,NEUROCONVENTION,3
STRESS-AWARENESS-DAY,CDAVIDGE,COASTLNECONSULT,2
BRAIN-AWARENESS-WEEK-2018,CGHOSH_,CELLCELLPRESS,1
16-DAYS-OF-ACTION-2018,OURWATCHAUS,VICCOUNCILS,2
NUTRITION-AND-HYDRATION-WEEK-2018,NOBISMHEALTH,HANNAHLHARTNETT,2
NO-SMOKING-DAY-2018,SCHYPNOTHERAPY,UK_HYPNOTHERAPY,2
MND-AWARENESS-MONTH-2018,MNDMANCHESTER,MOZ0373RUNNER,2
STRESS-AWARENESS-DAY,BANANATAG,IOICNEWS,2
BRAIN-AWARENESS-WEEK-2018,MINDLESSDROID,MICHAELJFOXORG,2
STRESS-AWARENESS-DAY,WIREDRAZ,MINDCHARITY,2
TIME-TO-TALK-DAY-2018,PITCHER_LISE,ZUBIEDOO,2
16-DAYS-OF-ACTION-2018,TRACIEEDWARD,ETFOEDUCATORS,2
16-DAYS-OF-ACTION-2018,PAULINEFRMND,NRL,2
ELF-DAY,YBREEVAART67_63,ALZHEIMERSSOC,1
DEMENTIA-ACTION-WEEK-2018,OTBCNMTD,TRUSTCAREAGENCY,2
TIME-TO-TALK-DAY-2018,REED_ENFIELD,REEDCOUK,2
JEANS-FOR-GENES-DAY,JEANHURLS,WRIGLEYCLAYDON,2
WEAR-PURPLE-FOR-JIA-2018,SIRPAGET,LHASELIP,2
TIME-TO-TALK-DAY-2018,CROWPOWD3R,THEJACKSEXSMITH,1
NUTRITION-AND-HYDRATION-WEEK-2018,LYNNEBROOKES4,DOCTORCHRISVT,1
ELF-DAY,2TEACHES2LEARN,FARMINGTONELEM,2
BRAIN-AWARENESS-WEEK-2018,MHALL55NINE,JOPACKAJ,4
JEANS-FOR-GENES-DAY,HARRYSMEDICIN_E,JEANSFORGENES,1
CERVICAL-CANCER-PREVENTION-WEEK-2018,EVENINGINPARISI,ROBMUSIC_,2
BRAIN-INJURY-WEEK-2018,HEADWAY_DUNDEE,HEADWAYUK,2
CARERS-WEEK-2018,THERESALEAVY,SINNFEINIRELAND,1
ELF-DAY,RACHELDODDSMIT2,BEECHHALLLEEDS,1
CERVICAL-CANCER-PREVENTION-WEEK-2018,BCMHOUSTON_NEWS,CPRITTEXAS,1
WEAR-PURPLE-FOR-JIA-2018,LISCORDINGLEY,NISHANAIR13,1
ELF-DAY,BEANSLOVER,ALZHEIMERSSOC,1
CERVICAL-CANCER-PREVENTION-WEEK-2018,HUMBLESMITHS,DRFEMI,2
OCD-AWARENESS-WEEK-2018,BANDAIDFINGERS,LWBEAN,2
BRAIN-INJURY-WEEK-2018,CDEH27,OZCBOSS,1
16-DAYS-OF-ACTION-2018,IRENEDAVENEZIA1,SDG2030,1
CARERS-WEEK-2018,EVESTESCO,CARERSTRUST,2
JEANS-FOR-GENES-DAY,BLEBERFTHORAN,JEANSFORGENES,1
WEAR-PURPLE-FOR-JIA-2018,WOODSVAN4,ED_MILIBAND,2
EPILEPSY-AWARENESS-PURPLE-DAY-2018,AFILIPPONE20,MICHELETRIANO70,1
MENS-HEALTH-WEEK-2018,TRIGGERSAILING,DIABETESUK,1
NO-SMOKING-DAY-2018,RUTHENBUCHAN,PSNCNEWS,2
RARE-DISEASE-DAY-2018,HEIDIGRITT,CGRITT12,2
MENTAL-HEALTH-AWARENESS-WEEK-2018,CANNONBALLREAD,CANNONBALLREAD,1
WEAR-PURPLE-FOR-JIA-2018,TAXBUZZUK,JIA_MATTERS,1
NO-SMOKING-DAY-2018,BRANDONVAPE,SENBILLNELSON,1
CERVICAL-CANCER-PREVENTION-WEEK-2018,HUNTSMANCANCER,DEANNAKEPKA,1
DRY-JANUARY-2018,JIMBOB296,THESOCIALLONDON,2
16-DAYS-OF-ACTION-2018,GLFAREN,ZONTAINTL,2
MENTAL-HEALTH-AWARENESS-WEEK-2018,CHRISMPATON,JAMESMELVILLE,2
NUTRITION-AND-HYDRATION-WEEK-2018,EARLEYTRACY,LM_NICHOLSON,1
JEANS-FOR-GENES-DAY,XCLAUDYAXX,MRSANNETWIST,2
TIME-TO-TALK-DAY-2018,HATTTIEGLADWELL,WANDILLIAMS,2
BRAIN-INJURY-WEEK-2018,BODAGALLON,PBROWNNEURO,1
NUTRITION-AND-HYDRATION-WEEK-2018,ANDREARUSS5,CWMTAFDIETETICS,2
NATIONAL-DYSLEXIA-WEEK-2018,GUS_AND_LUCY,MAGDAOLCHAWSKA,2
MENS-HEALTH-WEEK-2018,GRACELYNNKUNG,BBCWALES,2
NO-SMOKING-DAY-2018,NTEESHPOOLNHSFT,FEENJO,2
MND-AWARENESS-MONTH-2018,CRIS_HOSKIN,SCOTRAIL,1
DEMENTIA-ACTION-WEEK-2018,THECURVESLOUGH,SLOUGHCOUNCIL,2
CERVICAL-CANCER-PREVENTION-WEEK-2018,THESPIRITANGELS,DRFLOWERS,1
TIME-TO-TALK-DAY-2018,FERALWRANGLER,PITCHER_LISE,2
STRESS-AWARENESS-DAY,CHARLOT_SUMMERS,PETSASTHERAPYUK,1
EATING-DISORDER-AWARENESS-WEEK-2018,ANAKEDVES,HELENRINGROW,2
DEMENTIA-ACTION-WEEK-2018,DANIELAHISLOP,YOURLIVEWIRE,2
16-DAYS-OF-ACTION-2018,SARAH_PNDJ,UN_WOMEN,4
OCD-AWARENESS-WEEK-2018,GAYBYLER,LWBEAN,2
BRAIN-INJURY-WEEK-2018,SHILPA179,HEADWAYUK,1
NO-SMOKING-DAY-2018,DFRENCHECCH,SMOKFREENORFOLK,2
EATING-DISORDER-AWARENESS-WEEK-2018,THEWITT44,CLRGEORGIAPOWER,1
STRESS-AWARENESS-DAY,DEBRAKEARNS40,BOOTS_JOBS,2
RARE-DISEASE-DAY-2018,WHOAMAN7,MELISSATWEETS,2
MENS-HEALTH-WEEK-2018,RUSSELLEARNSHAW,LUSTFORLIFE,1
WEAR-PURPLE-FOR-JIA-2018,NWACPSG,ED_MILIBAND,2
EPILEPSY-AWARENESS-PURPLE-DAY-2018,SXYBIO,LIBDEMS,2
BRAIN-INJURY-WEEK-2018,WAFEFC,CBITLISA,2
NUTRITION-AND-HYDRATION-WEEK-2018,CHARITYBEGIN3,MYNAMEISANDYJ,2
NATIONAL-DYSLEXIA-WEEK-2018,WONKHE,JOANNA_BALL,2
EPILEPSY-AWARENESS-PURPLE-DAY-2018,MARYHILLBERRY,HSNYDERLP,2
DRY-JANUARY-2018,ALANYOUNGMAN2,31DOVER,2
DEMENTIA-ACTION-WEEK-2018,MAGICMEARTS,ARTS4DEMENTIA,1
BRAIN-AWARENESS-WEEK-2018,WEAREDCPH,ACLBRAINHEALTH,1
NUTRITION-AND-HYDRATION-WEEK-2018,RCHTDIETITIANS,RCHTWECARE,2
NATIONAL-DEMENTIA-CARERS-2018,ALYSONTHOMAS21,CAREQUALITYCOMM,2
BRAIN-INJURY-WEEK-2018,HSSWYOUNGADULTS,1HANNAHCARR,2
MND-AWARENESS-MONTH-2018,CHELSEADEE6,CHELSEADEE6,2
MENS-HEALTH-WEEK-2018,ADVENTUROUSFOLK,AIMSONHEALTH,2
16-DAYS-OF-ACTION-2018,GUILHERMEBIGAR1,TARANABURKE,1
DEMENTIA-ACTION-WEEK-2018,HENLEYHERALD,DEMENTIAOXON,1
EATING-DISORDER-AWARENESS-WEEK-2018,HOLLYHARDYY_,PENNYRED,2
MND-AWARENESS-MONTH-2018,PICTAVIEW,MNDEVENTSPLYM,2
WEAR-PURPLE-FOR-JIA-2018,BEXILY,RHEUMATOLOGYUK,2
DEMENTIA-ACTION-WEEK-2018,TOMMYTOMMYTEE18,SUZYSOPENHEART,1
WEAR-PURPLE-FOR-JIA-2018,EHERRERO83,LLAWFORDPRIMARY,1
DRY-JANUARY-2018,RYANELLIOTT1701,CHOCTRADINGCO,2
JEANS-FOR-GENES-DAY,VALERIESLEEGERS,JEANSFORGENES,1
MENTAL-HEALTH-AWARENESS-WEEK-2018,_VFAISALL,LORRAINE,2
STRESS-AWARENESS-DAY,SCOTLECTURERS,HEADS_TOGETHER,2
ELF-DAY,AUDREYBLISSME,THESOVRANGROUP,2
MND-AWARENESS-MONTH-2018,MNDASSOC,NICKGOLDUP1,2
MENTAL-HEALTH-AWARENESS-WEEK-2018,LAURAPEDIROSE,MSMOLLYRACHAEL,1
DEMENTIA-ACTION-WEEK-2018,THEPRDOCTORUK,CELESIOUK,2
NATIONAL-DEMENTIA-CARERS-2018,HEDGESSDD,LORNAFIELKER,1
MENS-HEALTH-WEEK-2018,2F488F65E8A24A0,MENTALHEALTHAM,2
JEANS-FOR-GENES-DAY,MARYBFF1ORTIZ,MRSANNETWIST,2
OVARIAN-CANCER-AWARENESS-MONTH-2018,MELVILLE72,FELICITYBARRTV,2
BRAIN-INJURY-WEEK-2018,ROYTHORNES,ROYTHORNES_PI,2
DRY-JANUARY-2018,CHESTERTWEETSUK,CHESTERDOTCOM,2
STRESS-AWARENESS-DAY,SLAVE_4_B,_JESSICADAVIES,2
NATIONAL-DYSLEXIA-WEEK-2018,EICLIBRARY,272BOOKFAITH,2
NUTRITION-AND-HYDRATION-WEEK-2018,JOLOIS99,MELANIEPICK1999,1
EXPERIENCE-OF-CARE-WEEK-2018,NOBISMHEALTH,BERYLINSTITUTE,1
OVARIAN-CANCER-AWARENESS-MONTH-2018,EATONRIFLES1,CANCERCARERCHAT,2
MENS-HEALTH-WEEK-2018,CONORFEENEY83,VERSUSARTHRITIS,1
RARE-DISEASE-DAY-2018,YEESENG23,YANN_EURORDIS,1
TIME-TO-TALK-DAY-2018,POEMWARRIOR,TIMETOCHANGE,2
NUTRITION-AND-HYDRATION-WEEK-2018,RBILTCLIFFE,LAURENPFISTER6,2
CARERS-WEEK-2018,JIMMYTABUK,SCOTGOV,1
OVARIAN-CANCER-AWARENESS-MONTH-2018,TRACEY_WOODWARD,EVEAPPEAL,1
NATIONAL-DYSLEXIA-WEEK-2018,ROHANSLAUGHTER,ALISTAIRM,1
NUTRITION-AND-HYDRATION-WEEK-2018,TILLYBOSS,SARAHMO1985,1
NO-SMOKING-DAY-2018,SOLUTIONS4H,SMOKEFREELIFEOX,2
TIME-TO-TALK-DAY-2018,CFFSCHROEDER,CFTRUSTYOUTH,2
16-DAYS-OF-ACTION-2018,QUEENSERERE,DOYNA_SN,2
TIME-TO-TALK-DAY-2018,NOVSTORMBRINGER,THE_UNSILENT_,2
NATIONAL-DYSLEXIA-WEEK-2018,CREATIVEARTJAN,GDMOREWOOD,1
NUTRITION-AND-HYDRATION-WEEK-2018,GROGANMANDY,DCHSTRUST,1
ELF-DAY,WESAYNISA,NISARETAIL,2
ELF-DAY,ALZSOCSWENGLAND,SHARPARSONS,2
BRAIN-AWARENESS-WEEK-2018,LUISB,PSYCH_REVIEW,2
TIME-TO-TALK-DAY-2018,HEATHERBOWES7,ZUBIEDOO,2
BRAIN-INJURY-WEEK-2018,HEADWAYUK,HEADWAYESUSSEX,2
OCD-AWARENESS-WEEK-2018,JOON_YONCE,LWBEAN,2
16-DAYS-OF-ACTION-2018,879CALDWELL,UN,1
ELF-DAY,WILLIAMSGWYNFA,THESOVRANGROUP,2
EPILEPSY-AWARENESS-PURPLE-DAY-2018,JAMESJIMMY_H,TLMPHOTOGRAPHYW,1
NUTRITION-AND-HYDRATION-WEEK-2018,MYNAMEISANDYJ,SCURRAN88,2
CARERS-WEEK-2018,JOHNWALSH88,CARERSWEEK,2
CERVICAL-CANCER-PREVENTION-WEEK-2018,AMBERPHARMACY,CDC_CANCER,2
BRAIN-AWARENESS-WEEK-2018,ANAFLORIANI69,CAUK1,1
CERVICAL-CANCER-PREVENTION-WEEK-2018,DENNISRELOJO,KBAGSHAWE,1
OCD-AWARENESS-WEEK-2018,RECOVERYDOCTOR,IOCDF,1
BRAIN-INJURY-WEEK-2018,STEVEHA01750872,HEADWAYUK,2
BRAIN-INJURY-WEEK-2018,BODAGALLON,ACHANCEFORLIFE,2
OVARIAN-CANCER-AWARENESS-MONTH-2018,BARCUDCOCHDDU,OVARIANCANCERUK,2
ELF-DAY,DEVANSNHS,HEARTOFACUTEMED,2
WEAR-PURPLE-FOR-JIA-2018,RUTHWYLLIE1,JIA_MATTERS,1
RARE-DISEASE-DAY-2018,ONLYMORSE,PHATORONTO,2
BRAIN-AWARENESS-WEEK-2018,EANEUROLOGY,NEUROSCIENCE,2
BRAIN-INJURY-WEEK-2018,HEADWAYDEVON,KARENW_WOLFIES,4
ELF-DAY,CNLYLD,PCSDRAG0N,2
MENTAL-HEALTH-AWARENESS-WEEK-2018,ELEY01,HEALINGMB,1
CARERS-WEEK-2018,CARERSLEEDS,LEEDSBFORUM,2
BRAIN-INJURY-WEEK-2018,CBITMIDLANDS,RHONDDABRYANT,2
NUTRITION-AND-HYDRATION-WEEK-2018,KIMPANTONIOU,KAFOODLE,4
16-DAYS-OF-ACTION-2018,JMMURIU,UN_WOMEN,2
MENTAL-HEALTH-AWARENESS-WEEK-2018,JULIEBARRERO7,THEROYALBALLET,2
MENTAL-HEALTH-AWARENESS-WEEK-2018,M___T_____,JAMESMELVILLE,2
MENTAL-HEALTH-AWARENESS-WEEK-2018,1OF2VICS,THISISMYBRAVE,1
MENTAL-HEALTH-AWARENESS-WEEK-2018,COOLMENTORING,MH_AWARENESS,1
OCD-AWARENESS-WEEK-2018,CONICUUU,LWBEAN,2
EXPERIENCE-OF-CARE-WEEK-2018,NSWCEC,WESTSYDHEALTH,1
16-DAYS-OF-ACTION-2018,PIPPALICIOUSJ,DEVONCC,2
ELF-DAY,CLAIRESPENCER11,ALZHEIMERSSOC,1
DRY-JANUARY-2018,CHRISTYDH,JOINCLUBSODA,1
EPILEPSY-AWARENESS-PURPLE-DAY-2018,EBYZIO,CYNICALSOLO,1
BRAIN-AWARENESS-WEEK-2018,MANIEBOSMAN,COMAFORD,1
STRESS-AWARENESS-DAY,ROSITASTEF,SKYBLUERICK1,2
DRY-JANUARY-2018,INDIECHESTER,CHESTERDOTCOM,2
STRESS-AWARENESS-DAY,RODSTE46168431,USFWS,2
NO-SMOKING-DAY-2018,LESJACKSONICE,HEALTHYSOT,2
DEMENTIA-ACTION-WEEK-2018,DEMENTIACENTRE,DEMENTIACENTRE,1
STRESS-AWARENESS-DAY,CORICODRE,NHSUK,2
EPILEPSY-AWARENESS-PURPLE-DAY-2018,KATHYSEDON,CAVS,2
DRY-JANUARY-2018,LAURAMOOWHO,HUFFPOSTUK,1
NO-SMOKING-DAY-2018,PARISOFPRAIRIES,CHARLIECLARKYXE,1
16-DAYS-OF-ACTION-2018,LEXIEISFREE,DRJOYCEBANDA,1
OCD-AWARENESS-WEEK-2018,RACHEL__KAY__22,LWBEAN,2
DRY-JANUARY-2018,BEISHMANIA,BEEFINITYVIANDE,2
EATING-DISORDER-AWARENESS-WEEK-2018,MARGEJENNY,NORMANLAMB,2
RARE-DISEASE-DAY-2018,JBAILEYMD,RVAWONK,2
OVARIAN-CANCER-AWARENESS-MONTH-2018,YOUROLDESTFAN,JNJPARENTS,1
NUTRITION-AND-HYDRATION-WEEK-2018,MYNAMEISANDYJ,APETITOUK,1
MND-AWARENESS-MONTH-2018,SHARONTIDAY,TVVICTORIAG,2
OCD-AWARENESS-WEEK-2018,SOTIROULLALEON,SPLARNY91,2
JEANS-FOR-GENES-DAY,FIBROFLUTTERS,EHLERSDANLOSUK,2
RARE-DISEASE-DAY-2018,LOLANAVARROARG,PPARGANZUELA,2
EATING-DISORDER-AWARENESS-WEEK-2018,SAPHNASHARONOBE,NWBOROUGHSNHS,2
16-DAYS-OF-ACTION-2018,GREENFINCHMRS,DOGSTRUST,2
DRY-JANUARY-2018,PRETENNA,31DOVER,2
OVARIAN-CANCER-AWARENESS-MONTH-2018,GNSSFEED,NHSENGLAND,2
BRAIN-AWARENESS-WEEK-2018,GRIFC15,ARUKNEWS,2
TIME-TO-TALK-DAY-2018,EDITHBA50246991,LORRAINE,1
MENTAL-HEALTH-AWARENESS-WEEK-2018,LUKESXCUDDLES,JAMESMELVILLE,2
CARERS-WEEK-2018,FEIST_SFEIST,BMJ_LATEST,1
NO-SMOKING-DAY-2018,JULIECDURRANT,ANGLIARESEARCH,2
16-DAYS-OF-ACTION-2018,JAMIEMAIK,UKLABOUR,2
ELF-DAY,CCCOPTICIANS,ALZHEIMERSSOC,2
CERVICAL-CANCER-PREVENTION-WEEK-2018,JULIECKIEFER,HUNTSMANCANCER,1
DRY-JANUARY-2018,RTLIKEWIN,DRINKTG,2
MENTAL-HEALTH-AWARENESS-WEEK-2018,FSJENNER,MSMOLLYRACHAEL,1
DRY-JANUARY-2018,MODOBNC,CHOCTRADINGCO,2
EPILEPSY-AWARENESS-PURPLE-DAY-2018,MCAULIFFEES,SPACE_STATION,1
NATIONAL-DYSLEXIA-WEEK-2018,MAG_WORDEN,DYSLEXIADEB1,1
TIME-TO-TALK-DAY-2018,TRUMP_ENEMY,THE_UNSILENT_,2
EPILEPSY-AWARENESS-PURPLE-DAY-2018,JANUSGONEAWRY,MASTERJEDIMARA,2
NUTRITION-AND-HYDRATION-WEEK-2018,MYNAMEISANDYJ,WORTHGEMMA,1
JEANS-FOR-GENES-DAY,SUSANELLIS100,LAURAWARREN__,1
STRESS-AWARENESS-DAY,THEREALMISSKJ,JACKSONLEESLAW,2
RARE-DISEASE-DAY-2018,BOALSBURG2018,REALSJSGIOVANNI,2
STRESS-AWARENESS-DAY,RICHBAYLEY80,THINKHESARUS,1
DEMENTIA-ACTION-WEEK-2018,INSPKENNEALLY,ARUKNEWS,2
DRY-JANUARY-2018,HBAKFAM,CHOCTRADINGCO,2
ELF-DAY,WESAYNISA,ALZHEIMERSSOC,1
EATING-DISORDER-AWARENESS-WEEK-2018,HSKYOUTH,EBPUNIT,2
BRAIN-INJURY-WEEK-2018,LILAMIE21,HEADWAYUK,1
MENS-HEALTH-WEEK-2018,SARAH13MARSTON,VERSUSARTHRITIS,1
ELF-DAY,PRIYANKAC_FAN0,NICKJONAS,1
TIME-TO-TALK-DAY-2018,JOSIE_KATE_92,PRTCHAMPSHIRE,1
NUTRITION-AND-HYDRATION-WEEK-2018,MYNAMEISANDYJ,NUTRICIAHCP_UK,1
CARERS-WEEK-2018,DUNDEESNP,THESNP,2
BRAIN-AWARENESS-WEEK-2018,DRCLAUDIASANTIF,NIDANEWS,2
BRAIN-INJURY-WEEK-2018,HENRY_WOODCOCK,HEADWAYDTON,1
NUTRITION-AND-HYDRATION-WEEK-2018,TILLYBOSS,RBILTCLIFFE,1
ELF-DAY,ALZSOCEMIDLANDS,BOSTON_SWA,1
TIME-TO-TALK-DAY-2018,ROSIEBSTEELE,BEEING_SOPHIE,2
16-DAYS-OF-ACTION-2018,LOZANOJENNIFER1,UN_WOMEN,2
JEANS-FOR-GENES-DAY,TAOFEEKUTHMAN,AMBERJADE310,2
JEANS-FOR-GENES-DAY,ISTUDYROSES,MRSANNETWIST,2
NUTRITION-AND-HYDRATION-WEEK-2018,MARIALEVERIDGE,CWMTAF,1
CERVICAL-CANCER-PREVENTION-WEEK-2018,DRTESSTHOMPSON,SITEMANCENTER,2
NUTRITION-AND-HYDRATION-WEEK-2018,BUTTERFLYBEACH1,SALTSMEDILINK,2
EPILEPSY-AWARENESS-PURPLE-DAY-2018,EHU_CYPF,CASSIDYMEGANPD,1
MND-AWARENESS-MONTH-2018,SHARONTIDAY,RON_PICTAVIEW,1
NATIONAL-DYSLEXIA-WEEK-2018,SPEAKSRSPECIAL,SPECIALIAPPS,2
RARE-DISEASE-DAY-2018,MELANIEROSE,HEALALEXIS,2
BRAIN-AWARENESS-WEEK-2018,ADJUNCTPROFESSR,FBI,1
OCD-AWARENESS-WEEK-2018,HUFFORDKENZIE,LWBEAN,2
RARE-DISEASE-DAY-2018,PERRYBULLOCK,MELISSATWEETS,2
MENTAL-HEALTH-AWARENESS-WEEK-2018,ELEY01,1MADWOMAN1962,2
NUTRITION-AND-HYDRATION-WEEK-2018,E14QMC,MBAKER35,2
OVARIAN-CANCER-AWARENESS-MONTH-2018,CLEARYJENNY5,NHSENGLAND,2
ELF-DAY,KHSG01,LIGHTHOUSESAFE,2
OVARIAN-CANCER-AWARENESS-MONTH-2018,AWOMENSTHING,TEALWALK,3
EATING-DISORDER-AWARENESS-WEEK-2018,LITTLEOWLY,ALLONTHEBOARD,2
JEANS-FOR-GENES-DAY,AMUSEDANN,MRSANNETWIST,2
WEAR-PURPLE-FOR-JIA-2018,MATT_NRAS,JIA_NRAS,1
OCD-AWARENESS-WEEK-2018,SOFTCANNOLI,LWBEAN,2
RARE-DISEASE-DAY-2018,SIOBHANGAYNOR,AVRILKENNAN,2
EPILEPSY-AWARENESS-PURPLE-DAY-2018,ELODIE_POTDEVIN,JENNIEJACQUES1,1
TIME-TO-TALK-DAY-2018,LETSBROVERWATCH,JONNYGABRIEL,1
EPILEPSY-AWARENESS-PURPLE-DAY-2018,AMARGO_M,MINSAUDE,2
CARERS-WEEK-2018,WATERWORXUK,WOMENSINSTITUTE,2
JEANS-FOR-GENES-DAY,SOLARA24129,JEANS_FOR_GENES,1
BRAIN-INJURY-WEEK-2018,OSBORNESLAWYERS,BENPOSFORD1,4
BRAIN-AWARENESS-WEEK-2018,SMOUSALI1974,FRONTNEUROSCI,1
EATING-DISORDER-AWARENESS-WEEK-2018,TANYALORETTADEE,STEGOSAURUSPLAY,2
