context,from,to,weight
JEANS-FOR-GENES-DAY,NICOLEWILSON133,ATKINSBLAND,3
CARERS-WEEK-2018,ANGELAK11635746,DJOHNSONMSP,1
NATIONAL-DEMENTIA-CARERS-2018,OLDHAMDEMENTIA,ALZHEIMERSSOC,2
EXPERIENCE-OF-CARE-WEEK-2018,THEOREMLEAN,CONEYISLANDHOSP,3
EATING-DISORDER-AWARENESS-WEEK-2018,EVERYDAYANGLE,THEPROJECTHEAL,2
TIME-TO-TALK-DAY-2018,FULLCIRCLE_PLAY,FULLCIRCLE_PLAY,1
MENS-HEALTH-WEEK-2018,LEVENDAKI17,AMBRYGENETICS,2
JEANS-FOR-GENES-DAY,MINERVINORM,HTARBIN,2
JEANS-FOR-GENES-DAY,CHLOELYNN0305,MRSANNETWIST,2
16-DAYS-OF-ACTION-2018,SUMINGKHOO,GLOBALWS_NUIG,3
ELF-DAY,BRIGSTEER12,ALZHEIMERSSOC,1
CARERS-WEEK-2018,DUNDEESNP,SCOTGOV,1
EPILEPSY-AWARENESS-PURPLE-DAY-2018,_DOC_AI,STANFORDMED,1
NUTRITION-AND-HYDRATION-WEEK-2018,GROGANMANDY,JJEFFCOATDCHS,1
STRESS-AWARENESS-DAY,OXANASUMMERS,KABBALAHINFO,2
BRAIN-AWARENESS-WEEK-2018,SPHEALTHMKTG,ILLINOISBIOTECH,2
EXPERIENCE-OF-CARE-WEEK-2018,CUNNINGHAM_CCH,HELENKARAGIO,2
CARERS-WEEK-2018,JOYCEMISOI1,NOTTSHEALTHCARE,1
ELF-DAY,WJALDISS,EVENINGNEWS,1
RARE-DISEASE-DAY-2018,SEATTLEHOPEGALA,NCIDIRECTOR,2
OCD-AWARENESS-WEEK-2018,MAYFPBARROS,LWBEAN,2
16-DAYS-OF-ACTION-2018,NOTTINGHAMCSCP,WHITERIBBON_UK,2
TIME-TO-TALK-DAY-2018,MYSOUTHEND,EPSTREETTRIAGE,2
BRAIN-AWARENESS-WEEK-2018,DEBBIEELSE1,GAVINGIOVANNONI,2
RARE-DISEASE-DAY-2018,VANESSAE_KING,JMARAGANORE,2
MENTAL-HEALTH-AWARENESS-WEEK-2018,KAJUNBOOKWORMS,HOLLY_BOURNEYA,1
BRAIN-AWARENESS-WEEK-2018,HENRYPOWELLW,UOR_LIFESCIENCE,1
ELF-DAY,CORNWALLISCARE,LOOEPIONEERS,1
MND-AWARENESS-MONTH-2018,MNDCOVWARKS1,MNDASSOC,1
NATIONAL-DEMENTIA-CARERS-2018,CPNSTARKILLER,NEECCG,2
16-DAYS-OF-ACTION-2018,DRMJCWARREN,DURHAM_UNI,1
CARERS-WEEK-2018,COPPOLAALI,CHARLOTTENURSE,2
CARERS-WEEK-2018,JANEDANFORTH,JOHNWALSH88,1
MENTAL-HEALTH-AWARENESS-WEEK-2018,LUCYM00SE,JAMESMELVILLE,2
EXPERIENCE-OF-CARE-WEEK-2018,SIMONWE65482771,RBNHSFT,1
EPILEPSY-AWARENESS-PURPLE-DAY-2018,NEDBRENNANEB,CEDARFOUNDATION,2
DRY-JANUARY-2018,BUTLER_RICKY,TOMBAIGRIE,1
TIME-TO-TALK-DAY-2018,WILL_SUPERKICK,THEJACKSEXSMITH,1
JEANS-FOR-GENES-DAY,DRDEBD,JEANSFORGENES,1
OCD-AWARENESS-WEEK-2018,VIQZEN,LWBEAN,2
ELF-DAY,SUSIDEMI93,PRIYANKACHOPRA,1
BRAIN-AWARENESS-WEEK-2018,SARALYNES1,CONNOR_LYNES,2
JEANS-FOR-GENES-DAY,CHRISHATTON29,JEANSFORGENES,1
NUTRITION-AND-HYDRATION-WEEK-2018,MYNAMEISANDYJ,TETLEYUK,1
NATIONAL-DYSLEXIA-WEEK-2018,ROHANSLAUGHTER,JISC,2
BRAIN-INJURY-WEEK-2018,ABIALLIANCE,NEUROCONVENTION,1
DEMENTIA-ACTION-WEEK-2018,MENTAL_IN_DEVON,AGEUKEXETER,2
BRAIN-INJURY-WEEK-2018,LBLAWCLINNEG,HEADWAYESUSSEX,1
BRAIN-AWARENESS-WEEK-2018,THIERRYROUBY,SCIENCENEWS,2
EXPERIENCE-OF-CARE-WEEK-2018,JESSICA_MSHS,MTSINAIQUEENS,3
NO-SMOKING-DAY-2018,MACKEMRAVEREMMA,SUNDERLANDECHO,2
NATIONAL-DYSLEXIA-WEEK-2018,RENARDMARLENE,SOUNDCUBE,2
EATING-DISORDER-AWARENESS-WEEK-2018,MONITORTHISPOD,DIABETICSWITHED,2
CARERS-WEEK-2018,AUTY_BUT_NICE,HAPPYLITTLEHUGH,2
16-DAYS-OF-ACTION-2018,TALLGREY,UN_WOMEN,2
CARERS-WEEK-2018,CARERSNI,SINNFEINIRELAND,1
NATIONAL-DEMENTIA-CARERS-2018,HAZELTRAINING,VAMOSTHEATRE,2
MENTAL-HEALTH-AWARENESS-WEEK-2018,BLAQIECHAN_,OKUNTAKINTE,2
MENTAL-HEALTH-AWARENESS-WEEK-2018,EMILYROSEON,JAMESMELVILLE,2
RARE-DISEASE-DAY-2018,MM6481,BEATRIZBECERRAB,2
DEMENTIA-ACTION-WEEK-2018,MRBLANDING,AVRILCHAFFEYPR,2
OVARIAN-CANCER-AWARENESS-MONTH-2018,KINGALLSAUTHOR,TESAROBIO,6
TIME-TO-TALK-DAY-2018,TRICIAILLSLEY,ALEXDAVIESPBTS,2
16-DAYS-OF-ACTION-2018,WOMENSLEGALVIC,DVRCV,2
JEANS-FOR-GENES-DAY,HSTUDYRAINBOWSX,JEANSFORGENES,1
MENS-HEALTH-WEEK-2018,CROYDON_NRAS,VERSUSARTHRITIS,1
NUTRITION-AND-HYDRATION-WEEK-2018,MYNAMEISANDYJ,SURREYCARE,1
16-DAYS-OF-ACTION-2018,PARENTSVOICEWOR,FAMILYLIVES,1
OVARIAN-CANCER-AWARENESS-MONTH-2018,RBROSEMER,SBELLASWAYS,2
NATIONAL-DEMENTIA-CARERS-2018,WOWPETITION,ALZHEIMERSSOC,6
NATIONAL-DYSLEXIA-WEEK-2018,YSJPHYSIO,ALISTAIRM,1
OVARIAN-CANCER-AWARENESS-MONTH-2018,PEDAGOGYCE,DRWALKER_RPH,2
ELF-DAY,ICAREGROUP,ALZHEIMERSSOC,1
CERVICAL-CANCER-PREVENTION-WEEK-2018,ELLIOTHEALTHSYS,WOMENSHEALTH,1
CARERS-WEEK-2018,AWKTORT,FAMILYWORK123,2
BRAIN-AWARENESS-WEEK-2018,JOEB202,OLDMANSTONEZONE,2
NATIONAL-DEMENTIA-CARERS-2018,GRACECORDOVANO,CAREQUALITYCOMM,2
ELF-DAY,DEVANSNHS,ALZHEIMERSSOC,1
16-DAYS-OF-ACTION-2018,JENNYEJLAK,GENDEREQUITYVIC,2
16-DAYS-OF-ACTION-2018,THEBRODIEBOY,SCOTTISHSPCA,2
NUTRITION-AND-HYDRATION-WEEK-2018,CWMTAFDIETETICS,BDA_WALESBOARD,1
OCD-AWARENESS-WEEK-2018,SOTIROULLALEON,IOCDF,5
MENS-HEALTH-WEEK-2018,MIKEROUSSELL,MIKEROUSSELL,1
NATIONAL-DEMENTIA-CARERS-2018,CLUCKINGPALACE,ALZHEIMERSSOC,2
16-DAYS-OF-ACTION-2018,LEONIE09084311,SARAHCHAMPIONMP,2
STRESS-AWARENESS-DAY,FINALFAMILYHOME,MENTALHEALTH,2
ELF-DAY,BCKUK,MILLBECKCARE,2
TIME-TO-TALK-DAY-2018,PITCHER_LISE,ANNASWANSEA,2
EXPERIENCE-OF-CARE-WEEK-2018,CHANDACHACON,ACSARCHILDRENS,1
BRAIN-INJURY-WEEK-2018,MIKEKEMPLAW,CKELLYLAW,2
WEAR-PURPLE-FOR-JIA-2018,LIZ_M_BEE,BBC5LIVE,1
16-DAYS-OF-ACTION-2018,ERAAUSTRALIA,AWAVA_WOMEN,2
BRAIN-AWARENESS-WEEK-2018,HEIDI_MOSS,THENASCIENCES,2
BRAIN-AWARENESS-WEEK-2018,MHALL55NINE,GDUNNART,1
TIME-TO-TALK-DAY-2018,ALEBLOODY_SKY,THEJACKSEXSMITH,1
MENTAL-HEALTH-AWARENESS-WEEK-2018,RADONRUBY,JAMESMELVILLE,2
WEAR-PURPLE-FOR-JIA-2018,JENNIEJ95408140,NEWWALTHAM,4
NO-SMOKING-DAY-2018,JENNYIRVINE5,ARCHLCLTD1,3
BRAIN-INJURY-WEEK-2018,SOULINDIVISION2,_JCBFM,1
EATING-DISORDER-AWARENESS-WEEK-2018,JMW3CAT,MQMENTALHEALTH,1
NO-SMOKING-DAY-2018,TIMOTHYBANKS7,TENOVUSCANCER,2
BRAIN-INJURY-WEEK-2018,TANITH_JONES,LAURA_BARLS,1
MENS-HEALTH-WEEK-2018,AUTRAN_ANAMARIA,ELS_UROLOGY,2
NUTRITION-AND-HYDRATION-WEEK-2018,MYNAMEISANDYJ,MILAESTEVAM1,2
OCD-AWARENESS-WEEK-2018,NAGILITTLE,LWBEAN,2
DRY-JANUARY-2018,DIANEHENDERIKS,DIANEHENDERIKS,1
NUTRITION-AND-HYDRATION-WEEK-2018,MYNAMEISANDYJ,SARAHCU68504464,1
NATIONAL-DYSLEXIA-WEEK-2018,DDYSLEXIACT,MADEBYDYSLEXIA,2
EPILEPSY-AWARENESS-PURPLE-DAY-2018,ANGE_J_30,JENNIEJACQUES1,1
BRAIN-AWARENESS-WEEK-2018,ROSWITAMIND,ELSNEUROSCIENCE,2
EXPERIENCE-OF-CARE-WEEK-2018,HEMBROUGHJANNA,HACKENSACKUMC,1
EATING-DISORDER-AWARENESS-WEEK-2018,ARTISANS_JW,YOUNGMINDSUK,2
CERVICAL-CANCER-PREVENTION-WEEK-2018,DAWNTHOMAS2311,RCOBSGYN,2
ELF-DAY,ANNIECW67,ALZHEIMERSSOC,1
16-DAYS-OF-ACTION-2018,PROJECT9PHOENIX,WFP,2
EXPERIENCE-OF-CARE-WEEK-2018,NOBISMHEALTH,UPPERCHESAPEAKE,2
16-DAYS-OF-ACTION-2018,DRMJCWARREN,PROJSHILOH,2
NO-SMOKING-DAY-2018,OUR2ROTTS,JCPH_IOWA,2
TIME-TO-TALK-DAY-2018,CLARISSSSSSE,DJETUAH,2
DEMENTIA-ACTION-WEEK-2018,BIHIMASSOC,ARUKNEWS,1
16-DAYS-OF-ACTION-2018,MAEVE_UNIMELB,KNOWVAWDATA,3
TIME-TO-TALK-DAY-2018,_AUNTYE,PASTORVICTORIA1,2
BRAIN-INJURY-WEEK-2018,NICOLENATUR,HEADWAYUK,1
TIME-TO-TALK-DAY-2018,NPJARROWHEBBURN,TIMETOCHANGE,1
ELF-DAY,ALISONLRDASH,RDASH_NHS,2
NUTRITION-AND-HYDRATION-WEEK-2018,MYNAMEISANDYJ,ADUNAWORLD,1
NUTRITION-AND-HYDRATION-WEEK-2018,CONFIDENTCARERS,CARERSUK,2
16-DAYS-OF-ACTION-2018,SLIMQINI,NTHABEYK,2
EATING-DISORDER-AWARENESS-WEEK-2018,GEMMMA_NICOLE_,BEATED,1
MND-AWARENESS-MONTH-2018,BPTHEYOUNGER,ALEX_MORTY,2
DRY-JANUARY-2018,BLIADHNAICHEAN,KATEGARRAWAY,2
TIME-TO-TALK-DAY-2018,LYNNIT,2020COMMS,2
TIME-TO-TALK-DAY-2018,HEATHERBOWES7,JEREMY_HUNT,2
MENS-HEALTH-WEEK-2018,COOLMENTORING,SPERMCHK,2
NUTRITION-AND-HYDRATION-WEEK-2018,DAVIES74E,WHHNHS,1
EPILEPSY-AWARENESS-PURPLE-DAY-2018,ANGE_J_30,GBLAGDEN,2
ELF-DAY,BOUNCYTITS1,LUIGINKED,1
NUTRITION-AND-HYDRATION-WEEK-2018,IGNASIAGELL,JODYDENNISOT,1
RARE-DISEASE-DAY-2018,AVARENITY,KDC,2
EPILEPSY-AWARENESS-PURPLE-DAY-2018,JACKBALDWIN1972,QUEST_STUDENTS,2
ELF-DAY,KOMALMAKWANA105,PRIYANKACHOPRA,1
NATIONAL-DEMENTIA-CARERS-2018,CEECEEINATL,EMMAB1,1
JEANS-FOR-GENES-DAY,CATAVARGAS_5,MRSANNETWIST,2
OVARIAN-CANCER-AWARENESS-MONTH-2018,EATONRIFLES1,COPES19952078,1
MENTAL-HEALTH-AWARENESS-WEEK-2018,QUEENOFNERDVANA,MH_AWARENESS,1
JEANS-FOR-GENES-DAY,MAGSALLAN,FINDACURE_FDN,2
DRY-JANUARY-2018,MRSTBAKINGQUEEN,CHOCTRADINGCO,2
ELF-DAY,MGALASIAK,ALZHEIMERSSOC,2
16-DAYS-OF-ACTION-2018,VEGGIRLQ,ALI1347MASOD,2
JEANS-FOR-GENES-DAY,KAKA123LITTLE,MRSANNETWIST,2
MENTAL-HEALTH-AWARENESS-WEEK-2018,FUTURESSCALPER1,METALHAMMER,2
16-DAYS-OF-ACTION-2018,JANEMEGSA,SDG2030,1
DRY-JANUARY-2018,SWEETCHEEK,CLIKDAPP,1
NATIONAL-DEMENTIA-CARERS-2018,EMACL13,CAREQUALITYCOMM,2
TIME-TO-TALK-DAY-2018,REED_ENFIELD,MAYOROFLONDON,2
EATING-DISORDER-AWARENESS-WEEK-2018,_VICTORIAMURPHY,BEATEDSUPPORT,2
JEANS-FOR-GENES-DAY,XHARRYSANGELSX,MRSANNETWIST,2
NUTRITION-AND-HYDRATION-WEEK-2018,RBILTCLIFFE,JOWILKY_,2
TIME-TO-TALK-DAY-2018,BRISTOLYRES,JUNIORLAWYERS,1
16-DAYS-OF-ACTION-2018,SILVERTETRON,KENTPAGE,2
RARE-DISEASE-DAY-2018,MAXINEPATTERSON,WEE_ELLSTER,2
CERVICAL-CANCER-PREVENTION-WEEK-2018,HUNTSMANCANCER,JENNMORALES_CHE,2
BRAIN-INJURY-WEEK-2018,PETERROBINSON86,CBITUK,3
JEANS-FOR-GENES-DAY,IEEVELEEN,JEANSFORGENES,1
OVARIAN-CANCER-AWARENESS-MONTH-2018,JILLTAN,OCRFA,1
EXPERIENCE-OF-CARE-WEEK-2018,NATASHAROLLS1,UHBRISTOLNHS,2
DEMENTIA-ACTION-WEEK-2018,SUZIECLOWN,HEARTSMINDSUK,2
NO-SMOKING-DAY-2018,MRSTUARTCARROLL,RBWM,2
OVARIAN-CANCER-AWARENESS-MONTH-2018,THOMASGARCIA44,FELICITYBARRTV,2
MND-AWARENESS-MONTH-2018,MNDEVENTSPLYM,IMPROVINGLIVESP,1
STRESS-AWARENESS-DAY,MARIATKEADY,DUBBERTREVOR,2
MENTAL-HEALTH-AWARENESS-WEEK-2018,MAEGLINHIEI,JAMESMELVILLE,2
